group	accession	organism	family	length_bp	n_cds	n_rrna	source	lineage
echinodermata	PP977507.1	Holothuroidea sp.		16097	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Echinozoa;Holothuroidea
echinodermata	NC_007789.1	Acanthaster brevispinus	Acanthasteridae	16254	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Valvatacea;Valvatida;Acanthasteridae;Acanthaster
echinodermata	NC_007788.1	Acanthaster planci	Acanthasteridae	16234	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Valvatacea;Valvatida;Acanthasteridae;Acanthaster
echinodermata	NC_056168.1	Amphioplus laevis	Amphiuridae	16084	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Amphioplus
echinodermata	NC_042738.1	Amphiura digitula	Amphiuridae	16291	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Amphiura
echinodermata	NC_045938.1	Amphiura sinicola	Amphiuridae	15348	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Amphiura
echinodermata	OP273954.1	Amphiura sp. CZ-2022	Amphiuridae	16147	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Amphiura
echinodermata	ON804242.1	Ophiomonas sp.	Amphiuridae	16144	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Ophiomonas
echinodermata	PP977505.1	Silax daleus	Amphiuridae	16411	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Ophiuroidea;Myophiuroidea;Metophiurida;Ophintegrida;Amphilepidida;Ophiurina;Gnathophiurina;Amphiuroidea;Amphiuridae;Silax
echinodermata	NC_010692.1	Antedon mediterranea	Antedonidae	16156	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Antedonidae;Antedon
echinodermata	NC_001878.1	Florometra serratissima	Antedonidae	16005	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Antedonidae;Florometra
echinodermata	MN883538.1	Florometra sp. BMK-2020	Antedonidae	15792	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Antedonidae;Florometra
echinodermata	NC_066490.1	Poliometra prolixa	Antedonidae	15916	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Pelmatozoa;Crinoidea;Articulata;Comatulida;Antedonidae;Poliometra
echinodermata	NC_057116.1	Pygmaeocidaris prionigera	Arbaciidae	16358	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Echinozoa;Echinoidea;Euechinoidea;Echinacea;Arbacioida;Arbaciidae;Pygmaeocidaris
echinodermata	MN052674.1	Archaster typicus	Archasteridae	16230	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Valvatacea;Valvatida;Archasteridae;Archaster
echinodermata	NC_065299.1	Aspidodiadema arcitum	Aspidodiadematidae	15870	13	2	refseq	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Echinozoa;Echinoidea;Euechinoidea;Acroechinoidea;Aspidodiadematoida;Aspidodiadematidae;Aspidodiadema
echinodermata	OP747303.1	Asterias amurensis	Asteriidae	16420	13	2	genbank	Eukaryota;Metazoa;Echinodermata;Eleutherozoa;Asterozoa;Asteroidea;Forcipulatacea;Forcipulatida;Asteriidae;Asterias
